ProductName,SKU,Category,ItemType,TrackSerials,SerialPrefix,SerialNextNumber,SerialSuffix,Description,DefaultUnitPrice,Markup,IsFixedMarkup,IsTaxInclusivePrice,AGD,Astoria Homes,Beaver Builders,BROOKFIELD,CAS CONSTRUCTION,Country Road Homebuilders,Daniel,David Weekly Homes,DFW Installations,FIG TREE HOMES,FIRST TEXAS HOMES,GH HOMES,Harvest Home Designs,Hunt Homes,Jake Jackson,James Lancaster,JCLI Homes,JOSEPH PAUL HOMES,Key Custom Homes,Malibu Homes,McClintock,Millcreek,NEWPORT HOMEBUILDERS,Pulte ,Stately Design and Renovation,STONEHOLLOW,SUMMA TERRA,TGC Custom Homes,TOLL BROTHERS,TRUTH CONSTRUCTION,TX BUILT CONST,Victor Myers,Villa May,Cost,SpecialTaxRate,LastVendor,VendorProductCode,VendorPrice,BarCode,Uom,SalesUom,SalesUomRatio1,SalesUomRatio2,PurchasingUom,PurchasingUomRatio1,PurchasingUomRatio2,ProductLength,ProductWidth,ProductHeight,ProductWeight,Remarks,CombineQuantityBuildable,AutoManufacture,IsActive
Intall,BC000275,SERVICE,Service,FALSE,,,,,160,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,BC000275,,,1,1,,1,1,,,,,,FALSE,FALSE,TRUE
Service/Labor,BC000276,SERVICE,Service,FALSE,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,"DFW Door Installations, LLC",,,BC000276,,,1,1,,1,1,,,,,,FALSE,FALSE,TRUE
LABOR-DOOR REPAIR,BC000294,SERVICE,Service,FALSE,,,,,0,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,0,,"DFW Door Installations, LLC",,,BC000294,,,1,1,,1,1,,,,,,FALSE,FALSE,TRUE
"1"" x 16"" x 16' MDF S4S UNPRIMED",BC000295,TRIM,Stocked product,FALSE,,,,,43.85,150,TRUE,FALSE,,23.68,,,,,,,,,,,,,,,29.54,,,,,29.54,24.21,45.29,27.5,,,,,,,,,17.54,,DW Distribution,,17.54,BC000295,ea.,ea.,1,1,ea.,1,1,0,0,0,0,,FALSE,FALSE,TRUE
3 % CC Transaction Fee,BC000344,SERVICE,Service,FALSE,,,,,0,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.17,,,0,,,,,BC000344,,,1,1,,1,1,,,,,,FALSE,FALSE,TRUE
"1"" X 4"" X 17' MDF S4S PRIMED",BC000370,TRIM,Stocked product,FALSE,,,,325/ UNIT,12.33,150,TRUE,FALSE,,,,12.41,,,,,,9.92,10.03,,,,10.03,,,12.4,,,,16.49,12.4,,,13.26,,,12.4,,,,12.01,4.93,,METRIE,,4.93,BC000370,ea.,ea.,1,1,ea.,1,1,0,0,0,0,,FALSE,FALSE,TRUE
INTERIOR DOOR PACKAGE,BC000371,INTERIOR DOOR,Non-stocked product,FALSE,,,,,0,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,BC000371,,,1,1,,1,1,,,,,,FALSE,FALSE,TRUE
"Sure Sill Pan 6-9/16""x 40"" CP663S040",BC000374,DOOR PANS,Stocked product,FALSE,,,,,95.2,150,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,52.36,,,,,38.08,,Suresill,CP663S040,38.08,BC000374,ea.,ea.,1,1,ea.,1,1,0,0,0,0,,FALSE,FALSE,TRUE
"BC 2'8"" x 6'8"" 6 PANEL, RHIS, SC 20 MIN FIRE DOOR, SNGL BORE, 4-9/16"" JAMB, MILL SILL, SN SPRING HINGES",BC000375,PULTE GARAGE 20 MIN FIRE DOOR,Stocked product,FALSE,,,,,465.55,150,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,407,,,,,,,,,,186.21833,,Boise Cascade,,,BC000375,ea.,ea.,1,1,ea.,1,1,0,0,0,0,,FALSE,FALSE,TRUE
"BC 2'8"" x 6'8"" 6 PANEL, LHIS, SC 20 MIN FIRE DOOR, SNGL BORE, 4-9/16"" JAMB, MILL SILL, SN SPRING HINGES - Copy",BC000376,PULTE GARAGE 20 MIN FIRE DOOR,Stocked product,FALSE,,,,,466,150,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,407,,,,,,,,,,186.40173,,Boise Cascade,,186.02,BC000376,ea.,ea.,1,1,ea.,1,1,0,0,0,0,,FALSE,FALSE,TRUE
"BC 2'8"" x 6'8"" PRO SELECT 1/2 LITE, 2 PANEL, LHOS, 4-9/16"" JAMB, SN NRP HINGES, BM",BC000377,PULTE OS BACK PATIO DOOR,Stocked product,FALSE,,,,,788.7,150,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,567.15,,,,,,,,,,315.48079,,Boise Cascade,,315.45,BC000377,ea.,ea.,1,1,ea.,1,1,0,0,0,0,,FALSE,FALSE,TRUE
"BC 2'8"" x 6'8"" PRO SELECT 1/2 LITE, 2 PANEL, RHOS, 4-9/16"" JAMB, SN NRP HINGES, BM - Copy",BC000378,PULTE OS BACK PATIO DOOR,Stocked product,FALSE,,,,,788.69,150,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,567.15,,,,,,,,,,315.47403,,Boise Cascade,,,BC000378,ea.,ea.,1,1,ea.,1,1,0,0,0,0,,FALSE,FALSE,TRUE
"DOUBLE OGEE WALL CAP 7-1/4"" X 16' PRIMED MDF",BC000379,TRIM,Stocked product,FALSE,,,,144/ UNIT,38.85,150,TRUE,FALSE,,,,23.93,,,,,,,,,,,,,,,,,,,,23.9,,,,,23.93,,,,,15.54,,DW Distribution,,15.54,BC000379,ea.,ea.,1,1,ea.,1,1,0,0,0,0,,FALSE,FALSE,TRUE
"BC 2'0"" x 6'8"" 6 PANEL TXTRD, LH, HC, 4-9/16"" JAMB, SN HINGES, 2-1/4"" A COL CASING",BC000380,PULTE INTERIOR DOORS,Stocked product,FALSE,,,,,0,-100,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,149.9,,,,,,,,,,101.98,,Boise Cascade,,,BC000380,,,1,1,,1,1,0,0,0,0,,FALSE,FALSE,TRUE
"BC 2'0"" x 6'8"" 6 PANEL TXTRD, RH, HC, 4-9/16"" JAMB, SN HINGES, 2-1/4"" A COL CASING - Copy",BC000381,PULTE INTERIOR DOORS,Stocked product,FALSE,,,,,258.48,150,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,149.91,,,,,,,,,,103.39361,,Boise Cascade,,,BC000381,ea.,ea.,1,1,ea.,1,1,0,0,0,0,,FALSE,FALSE,TRUE
"BC 2'6"" x 6'8"" 6 PANEL TXTRD RH HC 4-9/16"" JAMB SN HINGES 2-1/4"" A COL CASING",BC000382,PULTE INTERIOR DOORS,Stocked product,FALSE,,,,,268.32,150,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,155.42,,,,,,,,,,107.32901,,Boise Cascade,,,BC000382,ea.,ea.,1,1,ea.,1,1,,,,,,FALSE,FALSE,TRUE
"BC 2'6"" x 6'8"" 6 PANEL TXTRD LH HC 4-9/16"" JAMB SN HINGES 2-1/4"" A COL CASING",BC000383,PULTE INTERIOR DOORS,Stocked product,FALSE,,,,,265.07,150,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,155.42,,,,,,,,,,106.02715,,Boise Cascade,,,BC000383,ea.,ea.,1,1,ea.,1,1,0,0,0,0,,FALSE,FALSE,TRUE
"BC 2'8"" x 6'8"" 6 PANEL TXTRD LH HC 4-9/16"" JAMB SN HINGES 2-1/4"" A COL CASING",BC000384,PULTE INTERIOR DOORS,Stocked product,FALSE,,,,,272.35,150,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,157.98,,,,,,,,,,108.94,,Boise Cascade,,,BC000384,ea.,ea.,1,1,ea.,1,1,,,,,,FALSE,FALSE,TRUE
"BC 2'8"" x 6'8"" 6 PANEL TXTRD RH HC 4-9/16"" JAMB SN HINGES 2-1/4"" A COL CASING",BC000385,PULTE INTERIOR DOORS,Stocked product,FALSE,,,,,272.01,150,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,157.98,,,,,,,,,,108.80273,,Boise Cascade,,,BC000385,ea.,ea.,1,1,ea.,1,1,0,0,0,0,,FALSE,FALSE,TRUE
"BC DOUBLE 2'0"" x 6'8"" 6 PANEL TXTRD, BC, HC, 4-9/16"" JAMB, SN HINGES, 2-1/4"" A COL CASING",BC000386,PULTE INTERIOR DOORS,Stocked product,FALSE,,,,,423.58,150,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,244.81,,,,,,,,,,169.43,,Boise Cascade,,,BC000386,ea.,ea.,1,1,ea.,1,1,,,,,,FALSE,FALSE,TRUE
"BC 2'4"" x 6'8"" 6 PANEL TXTRD, LH, HC, 4-9/16"" JAMB, SN HINGES, 2-1/4"" A COL CASING - Copy",BC000387,PULTE INTERIOR DOORS,Stocked product,FALSE,,,,,263.15,150,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,153.52,,,,,,,,,,105.25985,,Boise Cascade,,,BC000387,ea.,ea.,1,1,ea.,1,1,0,0,0,0,,FALSE,FALSE,TRUE
